imo,ofac,uk,eu
9314167,False,True,True
9314650,True,False,False
9314818,True,True,False
9314820,False,True,True
9314882,False,True,True
9314894,False,True,True
9315446,True,True,True
9315642,True,False,False
9315654,True,True,True
9315745,False,True,True
9316127,False,True,True
9316701,True,False,False
9317315,False,True,False
9317949,False,True,True
9318022,True,False,False
9318034,False,True,True
9318539,False,True,True
9318541,True,True,True
9318553,True,True,True
9318618,True,False,False
9319674,False,True,True
9319686,False,True,True
9319703,False,True,True
9319870,False,True,True
9319882,False,True,True
9320738,True,False,False
9320843,True,False,False
9321172,False,True,True
9321421,True,False,False
9321469,True,False,False
9321562,False,True,True
9321677,True,False,False
9321689,False,True,True
9321691,False,True,True
9321706,True,True,True
9321718,True,True,True
9321847,True,True,True
9321976,True,True,True
9322267,True,True,False
9322279,True,False,False
9322827,True,True,False
9322839,True,True,False
9322956,True,True,True
9322968,True,True,True
9323314,False,True,True
9323326,False,True,True
9323338,True,True,False
9323340,False,True,True
9323364,False,True,True
9323376,False,True,True
9323429,True,False,False
9323596,True,False,False
9323833,True,False,False
9323974,False,True,True
9323986,False,True,True
9324277,True,True,True
9326055,True,False,False
9326067,True,False,False
9326689,False,True,False
9326718,False,True,True
9326720,False,True,True
9326885,True,False,False
9326902,True,False,False
9327360,False,True,True
9327372,False,True,True
9327413,True,True,False
9328170,True,True,True
9328716,True,False,False
9328900,True,False,False
9329655,True,True,True
9329667,False,True,True
9329760,False,True,True
9330020,True,False,False
9330472,False,True,True
9330501,True,False,False
9330599,False,True,True
9330604,False,True,False
9331141,False,True,True
9331153,False,True,True
9332028,False,True,True
9332315,True,False,False
9332614,True,False,False
9332781,False,True,True
9332810,False,True,True
9332822,False,True,True
9332834,False,True,True
9333400,False,True,True
9333412,False,True,True
9333424,False,True,True
9333436,True,True,True
9333589,True,False,False
9333670,True,True,True
9333682,True,True,True
9333785,False,True,True
9334557,False,True,True
9335094,False,True,True
9335678,True,False,False
9335680,True,False,False
9335692,True,False,False
9336426,False,True,True
9336490,True,True,True
9336517,False,True,True
9337133,True,True,False
9337195,True,False,True
9337327,False,True,False
9337389,True,True,True
9337418,False,True,True
9337901,False,True,True
9338230,True,False,False
9338905,False,True,True
9339301,True,True,True
9339313,True,True,True
9339325,True,True,True
9339337,True,True,True
9340934,True,False,False
9341067,True,True,True
9341079,True,True,True
9341081,True,True,True
9341093,True,True,True
9341512,True,False,False
9342786,True,False,False
9343986,False,False,True
9344033,True,True,True
9345623,False,True,True
9346524,True,False,False
9346536,True,False,False
9346548,True,False,False
9346720,False,True,True
9346732,True,True,True
9346744,False,True,True
9346873,False,True,True
9347059,True,False,False
9347061,True,False,False
9347308,False,True,True
9348479,False,True,True
9348493,True,False,False
9349289,True,False,False
9349291,True,False,False
9349576,True,False,False
9349588,True,False,False
9349590,True,False,False
9349667,True,False,False
9349679,True,False,False
9350422,True,False,False
9350654,True,True,True
